task,paper_dataset,decomposition_status,trend_energy_over_raw,residual_energy_over_raw,trend_over_residual_energy,decomposition_identity_max_error,kernels,decomposition_mode,scale_weight_mean,scale_weight_entropy,dominant_scale,dominant_scale_frequency
PSM,PSM,available,0.9181112321961388,0.06255274046820741,14.677394232835747,3.552713678800501e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
Genesis,Genesis,available,0.7303949926137466,0.17863493639376168,4.0887578172488634,8.881784197001252e-16,"[7, 15, 31]",deterministic_equal_weight_no_checkpoint,,,,
GECCO,GECCO,available,0.7639187919492961,0.17509737170941453,4.362822722531032,7.105427357601002e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
CalIt2,CalIt2,available,0.17610415165587018,0.6280854549617477,0.28038247067287275,4.440892098500626e-16,"[15, 31, 63]",checkpoint_scale_gate,"[0.32213011269386, 0.27987910921757037, 0.39799078496602863]",0.9900288783369079,2.0,1.0
NYC,NYC,available,0.42684069721900353,0.3361447476660269,1.2698121871090087,2.220446049250313e-16,"[15, 31, 63]",checkpoint_scale_gate,"[0.3492858081179507, 0.28170592995250926, 0.36900828793352725]",0.9935375738678308,2.0,1.0
MSL,MSL,available,0.09959103443739464,0.8957676697285759,0.11117953661753772,7.105427357601002e-15,"[15, 31, 63]",checkpoint_scale_gate,"[0.2624251641500758, 0.3294647121086086, 0.40811011953250875]",0.9849750812863514,2.0,0.9942394239423943
ASD_dataset_1,ASD,available,0.6374025173581469,0.24816916406620781,2.5684194882007882,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_2,ASD,available,0.6622547868321929,0.2357090537959435,2.8096281248726056,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_3,ASD,available,0.7477170573715335,0.16824756987154185,4.4441477398004645,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_4,ASD,available,0.7518117775488269,0.15962049944498222,4.709995145754824,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_5,ASD,available,0.6621810968380164,0.2503681827888348,2.6448292648931044,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_6,ASD,available,0.6931095611647843,0.19591171175473748,3.537866904212906,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_7,ASD,available,0.6699477930301317,0.2302389302533427,2.909793718607695,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_8,ASD,available,0.7256327251790213,0.18197860432946075,3.987461756027699,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_9,ASD,available,0.6883730975383496,0.18254216068218887,3.771036208653336,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_10,ASD,available,0.6920345311608656,0.19513089126026875,3.5465144790315066,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_11,ASD,available,0.6852749099795363,0.21432585372882842,3.197350660488057,1.7763568394002505e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
ASD_dataset_12,ASD,available,0.6855537051328627,0.18547760496600085,3.6961535343230727,8.881784197001252e-16,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
CICIDS,CICIDS,available,0.1306627682641861,0.8107147370906211,0.1611698446892556,7.105427357601002e-15,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
Creditcard,Creditcard,available,0.08593215545286623,0.9442851604787352,0.09100233599911725,7.105427357601002e-15,"[31, 63, 127]",deterministic_equal_weight_no_checkpoint,,,,
SMAP,SMAP,available,0.08978471181987006,0.8716538003283113,0.10300501390122128,2.842170943040401e-14,"[15, 31, 63]",deterministic_equal_weight_no_checkpoint,,,,
SMD,SMD,available,0.782631582797491,0.19831444635286424,3.9464174052400676,1.4210854715202004e-14,"[7, 15, 31]",deterministic_equal_weight_no_checkpoint,,,,
SWAT,SWAT,available,0.7424498607149571,0.17679688835383991,4.199450949775902,3.552713678800501e-15,"[255, 511, 1023]",deterministic_equal_weight_no_checkpoint,,,,
