level,descriptor,target,spearman_rho,n,most_influential_leave_one_out,max_leave_one_out_shift,minimum_loo_rho,maximum_loo_rho,any_loo_sign_flip,rho_without_asd_group,minimum_group_loo_rho,maximum_group_loo_rho,any_group_loo_sign_flip,qualified_for_pr,qualified_for_roc
task,channel_count,delta_auc_pr,-0.24586446373094079,23,NYC,0.15384899793690787,-0.39971346166784866,-0.15421044045827492,False,-0.06833730713673078,-0.39971346166784866,-0.06833730713673078,False,False,False
task,channel_count,delta_auc_roc,-0.5317285690666984,23,NYC,0.11842264790538892,-0.6501512169720873,-0.45893027080382626,False,-0.6195915847063591,-0.6501512169720873,-0.45893027080382626,False,False,False
task,mean_drift,delta_auc_pr,0.5158102766798419,23,Genesis,0.06916996047430829,0.4466403162055336,0.575381140598532,False,0.09090909090909091,0.09090909090909091,0.575381140598532,False,False,False
task,mean_drift,delta_auc_roc,0.5899209486166007,23,ASD_dataset_6,0.07806324110671958,0.5415019762845851,0.6679841897233203,False,0.6272727272727273,0.5415019762845851,0.6272727272727273,False,False,True
task,variance_drift,delta_auc_pr,0.3804347826086957,23,ASD_dataset_6,0.12267080745341608,0.29192546583850937,0.5031055900621118,False,-0.009090909090909092,-0.009090909090909092,0.4195369847543761,True,False,False
task,variance_drift,delta_auc_roc,0.4140316205533597,23,ASD_dataset_6,0.1398927159796725,0.3721061547148504,0.5539243365330322,False,-0.09090909090909091,-0.09090909090909091,0.4522868435911915,True,False,False
task,low_frequency_energy_ratio_mean,delta_auc_pr,0.09683794466403163,23,NYC,0.1397515527950311,0.012987012987012988,0.23658949745906271,False,-0.41818181818181827,-0.41818181818181827,0.23658949745906271,True,False,False
task,low_frequency_energy_ratio_mean,delta_auc_roc,0.4061264822134388,23,NYC,0.11504799548277805,0.3314511575381141,0.5211744776962168,False,0.3090909090909091,0.3090909090909091,0.5211744776962168,False,False,True
task,spectral_entropy,delta_auc_pr,0.06818181818181818,23,SWAT,0.09472049689440994,-0.026538678712591763,0.1202710333145116,True,0.3090909090909091,-0.026538678712591763,0.3090909090909091,True,False,False
task,spectral_entropy,delta_auc_roc,-0.19071146245059292,23,CICIDS,0.10883681535855451,-0.28176171654432525,-0.08187464709203841,False,0.13636363636363638,-0.28176171654432525,0.13636363636363638,True,False,False
task,periodicity_top3_ratio,delta_auc_pr,0.15019762845849804,23,NYC,0.14398644833427443,0.06832298136645965,0.2941840767927725,False,-0.19090909090909092,-0.19090909090909092,0.2941840767927725,True,False,False
task,periodicity_top3_ratio,delta_auc_roc,0.4683794466403162,23,NYC,0.11377752682100511,0.4025974025974026,0.5821569734613213,False,0.45454545454545453,0.4025974025974026,0.5821569734613213,False,False,True
task,correlation_drift,delta_auc_pr,-0.2519762845849803,23,NYC,0.14045736871823827,-0.39243365330321855,-0.15979672501411638,False,-0.20909090909090913,-0.39243365330321855,-0.15979672501411638,False,False,False
task,correlation_drift,delta_auc_roc,-0.591897233201581,23,NYC,0.11335403726708082,-0.7052512704686619,-0.5448898927159798,False,-0.5545454545454546,-0.7052512704686619,-0.5448898927159798,False,False,True
task,trend_energy_over_raw,delta_auc_pr,0.05434782608695652,23,SMAP,0.09895539243365331,-0.044607566346696784,0.13495200451722192,True,-0.22727272727272727,-0.22727272727272727,0.13495200451722192,True,False,False
task,trend_energy_over_raw,delta_auc_roc,0.19762845849802374,23,SMD,0.1067193675889328,0.09203839638622249,0.30434782608695654,False,0.26363636363636367,0.09203839638622249,0.30434782608695654,False,False,False
task,residual_energy_over_raw,delta_auc_pr,-0.07015810276679843,23,ASD_dataset_3,0.1091191417278374,-0.17108977978543197,0.03896103896103897,True,0.3545454545454546,-0.17108977978543197,0.3545454545454546,True,False,False
task,residual_energy_over_raw,delta_auc_roc,-0.33102766798418976,23,SWAT,0.09980237154150201,-0.43083003952569177,-0.25127046866177305,False,-0.26363636363636367,-0.43083003952569177,-0.25127046866177305,False,False,False
task,trend_over_residual_energy,delta_auc_pr,0.10375494071146245,23,ASD_dataset_3,0.10431959345002823,-0.0005646527385657821,0.20158102766798422,True,-0.26363636363636367,-0.26363636363636367,0.20158102766798422,True,False,False
task,trend_over_residual_energy,delta_auc_roc,0.3112648221343874,23,SMAP,0.08935629587803504,0.22190852625635235,0.39920948616600793,False,0.36363636363636365,0.22190852625635235,0.39920948616600793,False,False,False
paper,channel_count,delta_auc_pr,-0.15061319069274445,12,CalIt2,0.19161557497478293,-0.34168653568365387,0.041002384282038465,True,,,,,False,False
paper,channel_count,delta_auc_roc,-0.6164632921377448,12,NYC,0.1352470863662939,-0.7517103785040387,-0.5011402523360258,False,,,,,False,False
paper,mean_drift,delta_auc_pr,0.30069930069930073,12,Genesis,0.20979020979020982,0.09090909090909091,0.4272727272727273,False,,,,,False,False
paper,mean_drift,delta_auc_roc,0.7062937062937064,12,MSL,0.11188811188811187,0.6272727272727273,0.8181818181818182,False,,,,,False,True
paper,variance_drift,delta_auc_pr,0.22377622377622378,12,Genesis,0.23286713286713287,-0.009090909090909092,0.33636363636363636,True,,,,,False,False
paper,variance_drift,delta_auc_roc,0.15384615384615385,12,Genesis,0.24475524475524477,-0.09090909090909091,0.3090909090909091,True,,,,,False,False
paper,low_frequency_energy_ratio_mean,delta_auc_pr,-0.1958041958041958,12,ASD,0.22237762237762246,-0.41818181818181827,0.009090909090909092,True,,,,,False,False
paper,low_frequency_energy_ratio_mean,delta_auc_roc,0.41958041958041964,12,NYC,0.16223776223776226,0.3090909090909091,0.5818181818181819,False,,,,,False,True
paper,spectral_entropy,delta_auc_pr,0.18181818181818185,12,MSL,0.19999999999999998,0.009090909090909092,0.38181818181818183,False,,,,,False,False
paper,spectral_entropy,delta_auc_roc,0.04195804195804196,12,CICIDS,0.2671328671328671,-0.10000000000000002,0.3090909090909091,True,,,,,False,False
paper,periodicity_top3_ratio,delta_auc_pr,-0.013986013986013986,12,NYC,0.2321678321678322,-0.19090909090909092,0.21818181818181823,True,,,,,False,False
paper,periodicity_top3_ratio,delta_auc_roc,0.5314685314685316,12,NYC,0.17762237762237765,0.45454545454545453,0.7090909090909092,False,,,,,False,True
paper,correlation_drift,delta_auc_pr,-0.2867132867132868,12,NYC,0.22237762237762237,-0.5090909090909091,-0.13636363636363638,False,,,,,False,False
paper,correlation_drift,delta_auc_roc,-0.5944055944055945,12,NYC,0.12377622377622377,-0.7181818181818183,-0.5272727272727273,False,,,,,False,True
paper,trend_energy_over_raw,delta_auc_pr,-0.16083916083916086,12,SMAP,0.18461538461538465,-0.3454545454545455,-0.02727272727272728,False,,,,,False,False
paper,trend_energy_over_raw,delta_auc_roc,0.25874125874125875,12,SMAP,0.15874125874125872,0.10000000000000002,0.4090909090909091,False,,,,,False,False
paper,residual_energy_over_raw,delta_auc_pr,0.2517482517482518,12,SWAT,0.1972027972027972,0.05454545454545456,0.39090909090909093,False,,,,,False,False
paper,residual_energy_over_raw,delta_auc_roc,-0.25874125874125875,12,SWAT,0.1776223776223777,-0.43636363636363645,-0.14545454545454548,False,,,,,False,False
paper,trend_over_residual_energy,delta_auc_pr,-0.18181818181818185,12,SWAT,0.18181818181818185,-0.36363636363636365,0.0,True,,,,,False,False
paper,trend_over_residual_energy,delta_auc_roc,0.3356643356643357,12,SWAT,0.13706293706293704,0.20000000000000004,0.4727272727272727,False,,,,,False,False
