paper_dataset,task_count,catch_auc_pr,msd_auc_pr,delta_auc_pr,catch_auc_roc,msd_auc_roc,delta_auc_roc,pr_group,roc_group,formal_msd_task_count
PSM,1,0.43664600390349617,0.43044059429158626,-0.006205409611909907,0.6475481500586737,0.6472615932027586,-0.00028655685591516544,neutral,neutral,1
Genesis,1,0.26598636201966913,0.31076939487939076,0.04478303285972163,0.9735413019258317,0.9862788476842272,0.012737545758395585,gain,gain,1
GECCO,1,0.40931191196067934,0.40649507103606486,-0.002816840924614483,0.9634599320415539,0.9643817426490122,0.0009218106074583288,neutral,neutral,1
CalIt2,1,0.11331008954475083,0.12475790809431422,0.011447818549563393,0.837335086517425,0.8487381494331616,0.011403062915736562,gain,gain,1
NYC,1,0.08012301922216247,0.0625620541968663,-0.017560965025296166,0.8184345189209679,0.8080574098642201,-0.010377109056747713,loss,loss,1
MSL,1,0.1655892846937148,0.1740271791487243,0.008437894455009476,0.6619639093750687,0.6608765912436516,-0.0010873181314170477,neutral,neutral,1
ASD,12,0.23090707306416766,0.24442975588368665,0.013522682819519018,0.8236454368173015,0.8403998554649957,0.01675441864769404,gain,gain,12
CICIDS,1,0.0021731235429398453,0.0016057326538992352,-0.0005673908890406101,0.79050548808017,0.7199250423084635,-0.07058044577170641,neutral,loss,1
Creditcard,1,0.10047925847471387,0.10410656117659993,0.003627302701886062,0.9578139883152161,0.947813629712118,-0.010000358603098114,neutral,loss,1
SMAP,1,0.12853735454850154,0.11351940962511085,-0.015017944923390689,0.4974781075071577,0.4430626528376542,-0.05441545466950348,loss,loss,1
SMD,1,0.17233734912212675,0.172921975820056,0.0005846266979292469,0.8108613332598882,0.7973951524848084,-0.013466180775079772,neutral,loss,1
SWAT,1,0.15874455892337386,0.140985371551324,-0.017759187372049845,0.3437453576128116,0.3278118180319115,-0.015933539580900102,loss,loss,1
