task,paper_dataset,catch_msd_total_score_spearman,catch_score_source,msd_score_source,trend_auc_pr,residual_auc_pr,total_auc_pr,model,status,normal_score_median,anomaly_score_median,normal_score_iqr,anomaly_score_iqr,median_separation_over_normal_iqr,top_1pct_anomaly_fraction,top_5pct_anomaly_fraction
PSM,PSM,,,,0.3770075992729904,0.42316720574314715,0.43044059429158626,CATCH,N/A_no_continuous_score_archive,,,,,,,
PSM,PSM,,,,0.3770075992729904,0.42316720574314715,0.43044059429158626,MSDCATCH,component_metrics_only,,,,,,,
Genesis,Genesis,,,,0.09844616586826561,0.09084598831988004,0.31076939487939076,CATCH,N/A_no_continuous_score_archive,,,,,,,
Genesis,Genesis,,,,0.09844616586826561,0.09084598831988004,0.31076939487939076,MSDCATCH,component_metrics_only,,,,,,,
GECCO,GECCO,,,,0.3777747465035065,0.2777586160198907,0.40649507103606486,CATCH,N/A_no_continuous_score_archive,,,,,,,
GECCO,GECCO,,,,0.3777747465035065,0.2777586160198907,0.40649507103606486,MSDCATCH,component_metrics_only,,,,,,,
CalIt2,CalIt2,,,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/CalIt2_scores.npz,0.05700055197248664,0.11193351000137808,0.12475790809431422,CATCH,N/A_no_continuous_score_archive,,,,,,,
CalIt2,CalIt2,,,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/CalIt2_scores.npz,0.05700055197248664,0.11193351000137808,0.12475790809431422,MSDCATCH,available,1.2714294791221619,2.948491096496582,1.2223941087722778,1.6812698245048523,1.3719483801004175,0.15384615384615385,0.10317460317460317
NYC,NYC,,,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/NYC_scores.npz,0.062279028306535596,0.07620388803180306,0.0625620541968663,CATCH,N/A_no_continuous_score_archive,,,,,,,
NYC,NYC,,,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/NYC_scores.npz,0.062279028306535596,0.07620388803180306,0.0625620541968663,MSDCATCH,available,0.028967734426259995,0.04459506273269653,0.016325684264302254,0.019257064908742905,0.9572234800967736,0.08888888888888889,0.058823529411764705
MSL,MSL,,,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/MSL_scores.npz,0.1671467470833913,0.16325106883102286,0.1740271791487243,CATCH,N/A_no_continuous_score_archive,,,,,,,
MSL,MSL,,,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/MSL_scores.npz,0.1671467470833913,0.16325106883102286,0.1740271791487243,MSDCATCH,available,0.0037499014288187027,0.0059160152450203896,0.0053879827610217035,0.006815757718868554,0.40202686464997794,0.3943089430894309,0.17982099267697316
ASD_dataset_1,ASD,,,,,,0.12578618707155959,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_1,ASD,,,,,,0.12578618707155959,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_2,ASD,,,,,,0.48818375171251727,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_2,ASD,,,,,,0.48818375171251727,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_3,ASD,,,,,,0.2594434122877362,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_3,ASD,,,,,,0.2594434122877362,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_4,ASD,,,,,,0.19722752914657976,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_4,ASD,,,,,,0.19722752914657976,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_5,ASD,,,,,,0.29125898811741247,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_5,ASD,,,,,,0.29125898811741247,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_6,ASD,,,,,,0.19716717656974186,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_6,ASD,,,,,,0.19716717656974186,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_7,ASD,,,,,,0.08843707676965441,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_7,ASD,,,,,,0.08843707676965441,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_8,ASD,,,,,,0.1481874168894771,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_8,ASD,,,,,,0.1481874168894771,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_9,ASD,,,,,,0.30853110878882195,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_9,ASD,,,,,,0.30853110878882195,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_10,ASD,,,,,,0.39394932560180357,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_10,ASD,,,,,,0.39394932560180357,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_11,ASD,,,,,,0.2426238074781832,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_11,ASD,,,,,,0.2426238074781832,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_12,ASD,,,,,,0.19236129017075257,CATCH,N/A_no_continuous_score_archive,,,,,,,
ASD_dataset_12,ASD,,,,,,0.19236129017075257,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
CICIDS,CICIDS,,,,,,0.0016057326538992352,CATCH,N/A_no_continuous_score_archive,,,,,,,
CICIDS,CICIDS,,,,,,0.0016057326538992352,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
Creditcard,Creditcard,,,,,,0.10410656117659993,CATCH,N/A_no_continuous_score_archive,,,,,,,
Creditcard,Creditcard,,,,,,0.10410656117659993,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
SMAP,SMAP,,,,,,0.11351940962511085,CATCH,N/A_no_continuous_score_archive,,,,,,,
SMAP,SMAP,,,,,,0.11351940962511085,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
SMD,SMD,,,,,,0.172921975820056,CATCH,N/A_no_continuous_score_archive,,,,,,,
SMD,SMD,,,,,,0.172921975820056,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
SWAT,SWAT,,,,,,0.140985371551324,CATCH,N/A_no_continuous_score_archive,,,,,,,
SWAT,SWAT,,,,,,0.140985371551324,MSDCATCH,N/A_no_continuous_score_archive,,,,,,,
