task,paper_dataset,formal_source_selection,formal_seq_len,formal_patch_size,catch_record_dataset,catch_seed,catch_strategy,catch_primary_score,msd_record_dataset,msd_seed,msd_seq_len,msd_patch_size,msd_strategy,msd_primary_score,source_config_status,source_config_conflict_fields,source_config_not_persisted_fields,catch_auc_pr,msd_auc_pr,delta_auc_pr,pr_group,catch_auc_roc,msd_auc_roc,delta_auc_roc,roc_group,catch_source,msd_source,msd_source_kind,notes
PSM,PSM,explicit_fixed_mapping,192,16,PSM,2021.0,unfixed_detect_score,detect_score,PSM,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.43664600390349617,0.43044059429158626,-0.006205409611909907,neutral,0.6475481500586737,0.6472615932027586,-0.00028655685591516544,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/PSM/run-20260716T222700Z-660928-22488/CATCH.1784241452.h3c-R5500-G5.661628.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_screen/PSM.log,formal total-screen log,
Genesis,Genesis,explicit_fixed_mapping,192,8,Genesis,2021.0,unfixed_detect_score,detect_score,Genesis,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.26598636201966913,0.31076939487939076,0.04478303285972163,gain,0.9735413019258317,0.9862788476842272,0.012737545758395585,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/Genesis/run-20260716T213208Z-6088-16524/CATCH.1784239890.h3c-R5500-G5.6426.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_screen/Genesis.log,formal total-screen log,
GECCO,GECCO,explicit_fixed_mapping,192,16,GECCO,2021.0,unfixed_detect_score,detect_score,GECCO,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.40931191196067934,0.40649507103606486,-0.002816840924614483,neutral,0.9634599320415539,0.9643817426490122,0.0009218106074583288,neutral,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/CATCH_RSA_GECCO/CATCH.1784315768.h3c-R5500-G5.3595187.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_screen/GECCO.log,formal total-screen log,fixed fair GECCO source
CalIt2,CalIt2,explicit_fixed_mapping,192,16,CalIt2,2021.0,unfixed_detect_score,detect_score,CalIt2,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.11331008954475083,0.12475790809431422,0.011447818549563393,gain,0.837335086517425,0.8487381494331616,0.011403062915736562,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/CalIt2/run-20260715T183704Z-2374669-5874/CATCH.1784140875.h3c-R5500-G5.2376944.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/CalIt2.json,formal total-screen JSON,
NYC,NYC,explicit_fixed_mapping,192,16,NYC,2021.0,unfixed_detect_score,detect_score,NYC,,192.0,16.0,,total_score,partially_verified_not_persisted,,"seed,strategy_name",0.08012301922216247,0.0625620541968663,-0.017560965025296166,loss,0.8184345189209679,0.8080574098642201,-0.010377109056747713,loss,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/NYC/run-20260716T222643Z-657156-32728/CATCH.1784241041.h3c-R5500-G5.657503.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/NYC.json,formal total-screen JSON,
MSL,MSL,explicit_fixed_mapping,192,16,MSL,2021.0,unfixed_detect_score,detect_score,MSL,,,,,total_score,partially_verified_not_persisted,,"seed,seq_len,patch_size,strategy_name",0.1655892846937148,0.1740271791487243,0.008437894455009476,neutral,0.6619639093750687,0.6608765912436516,-0.0010873181314170477,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/MSL/run-20260716T213635Z-58595-28964/CATCH.1784244404.h3c-R5500-G5.59126.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/msd_catch_total_screen/MSL.json,formal total-screen JSON,
ASD_dataset_1,ASD,explicit_fixed_mapping,192,16,ASD_dataset_1,2021.0,unfixed_detect_score,detect_score,ASD_dataset_1,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.12484850854873471,0.12578618707155959,0.000937678522824878,neutral,0.4971756168309036,0.5032756765162025,0.00610005968529892,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_1/run-20260715T120733Z-1347582-29581/CATCH.1784117687.h3c-R5500-G5.1349346.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_1/MSDCATCH/MSDCATCH.1784390185.h3c-R5500-G5.3190810.csv.tar.gz,formal by-dataset archive,
ASD_dataset_2,ASD,explicit_fixed_mapping,192,16,ASD_dataset_2,2021.0,unfixed_detect_score,detect_score,ASD_dataset_2,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.4738718402997876,0.48818375171251727,0.014311911412729694,gain,0.9620846211233082,0.9663263348609187,0.0042417137376105085,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_2/run-20260715T123513Z-1655293-4562/CATCH.1784119679.h3c-R5500-G5.1657441.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_2/MSDCATCH/MSDCATCH.1784390351.h3c-R5500-G5.3230432.csv.tar.gz,formal by-dataset archive,
ASD_dataset_3,ASD,explicit_fixed_mapping,192,16,ASD_dataset_3,2021.0,unfixed_detect_score,detect_score,ASD_dataset_3,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.22005852048195607,0.2594434122877362,0.03938489180578014,gain,0.8062639890778531,0.8301668515467572,0.02390286246890405,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_3/run-20260715T130403Z-1970702-20553/CATCH.1784121522.h3c-R5500-G5.1974015.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_3/MSDCATCH/MSDCATCH.1784390812.h3c-R5500-G5.3274854.csv.tar.gz,formal by-dataset archive,
ASD_dataset_4,ASD,explicit_fixed_mapping,192,16,ASD_dataset_4,2021.0,unfixed_detect_score,detect_score,ASD_dataset_4,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.15411023763249648,0.19722752914657976,0.04311729151408328,gain,0.840160503495526,0.8763500386803257,0.036189535184799726,gain,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_4/run-20260715T134133Z-2385568-17192/CATCH.1784123438.h3c-R5500-G5.2387988.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_4/MSDCATCH/MSDCATCH.1784391366.h3c-R5500-G5.3400081.csv.tar.gz,formal by-dataset archive,
ASD_dataset_5,ASD,explicit_fixed_mapping,192,16,ASD_dataset_5,2021.0,unfixed_detect_score,detect_score,ASD_dataset_5,2021.0,192.0,16.0,unfixed_detect_score,total_score,verified,,,0.26665308045985403,0.29125898811741247,0.024605907657558435,gain,0.9435844228590343,0.9507199144504843,0.007135491591449994,neutral,/media/h3c/users/wangyueyang1/cxy/CATCH-master/result/score/CATCH/ASD_dataset_5/run-20260715T141230Z-2968914-11771/CATCH.1784125388.h3c-R5500-G5.2976094.csv.tar.gz,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/result/score/by_dataset/ASD_dataset_5/MSDCATCH/MSDCATCH.1784391918.h3c-R5500-G5.3568954.csv.tar.gz,formal by-dataset archive,
