paper_dataset,physical_task_count,comparable_task_count,complete_for_overall,catch_auc_pr,catch_auc_roc,typefusion_auc_pr,typefusion_auc_roc,delta_auc_pr,delta_auc_roc,available_task_catch_auc_pr,available_task_catch_auc_roc,available_task_typefusion_auc_pr,available_task_typefusion_auc_roc,incomplete_reason
ASD,12,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/12_comparable_tasks
CICIDS,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
CalIt2,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
Creditcard,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
GECCO,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
Genesis,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
MSL,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
NYC,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
PSM,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
SMAP,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
SMD,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
SWAT,1,0,False,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0/1_comparable_tasks
