task,paper_dataset,dataset_file,data_link_status,resolved_path,file_size_bytes,sha256,rows,feature_count,normal_count,anomaly_count,metadata_discoverable,integrity_status
ASD_dataset_1,ASD,ASD_dataset_1.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_1.csv,7977751,ba0e97bf032236f9325ff1cd79e07dbc41c81d2ad049c488d698d1c1d3326c61,12519,26,12512,7,True,ok
ASD_dataset_2,ASD,ASD_dataset_2.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_2.csv,7865362,d010fcc4fc4d910520c40f65382163ead164a7cb2329a585e9246d32f58e1a6e,12905,23,12901,4,True,ok
ASD_dataset_3,ASD,ASD_dataset_3.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_3.csv,7959648,cbf2c0549ed5b2476a6b6bc7f2765aa614e75d432c8f25ec4970a3fd00c9e5c5,12814,24,12808,6,True,ok
ASD_dataset_4,ASD,ASD_dataset_4.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_4.csv,7867693,f2ad28467956cf604388ac9cb01c15de113e56db9da72ccccacd2ac5945f2f95,12809,24,12804,5,True,ok
ASD_dataset_5,ASD,ASD_dataset_5.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_5.csv,8120998,373b86dfee1709cf6af978957e7612b64dddeec289620ef99759148119129b50,12886,25,12880,6,True,ok
ASD_dataset_6,ASD,ASD_dataset_6.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_6.csv,7897829,29602d38bb13cb5d6b04a709d1f05d59b454c82b271fc4295c530135cc20bea7,12762,29,12752,10,True,ok
ASD_dataset_7,ASD,ASD_dataset_7.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_7.csv,7646627,8e83c081ff0d3c92dc1d4bb7f25a4fced427dbcda87293f530580eadefa3bfed,12873,21,12870,3,True,ok
ASD_dataset_8,ASD,ASD_dataset_8.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_8.csv,7693453,13662f5180a9f64d9a5cd9e7ad2b15671b7f07bf69b84c12c654f25c73c7bb3c,12772,24,12767,5,True,ok
ASD_dataset_9,ASD,ASD_dataset_9.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_9.csv,7686632,0af70330271b8d761ff19b0919601f7c0b343856176c4718c7a3ddf5e4928ec9,12663,26,12655,8,True,ok
ASD_dataset_10,ASD,ASD_dataset_10.csv,existing_shared_directory,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/dataset/anomaly_detect/data/ASD_dataset_10.csv,7929952,961ebdec2aee2c7ec218dc75ff20184d7f47742a05da9597221fca657d631648,12587,27,12579,8,True,ok
