task,run_path,run_timestamp,candidate_order,valid,rejection_reason,selected,archive_path,archive_sha256,seed,seq_len,batch_size,auc_roc,auc_pr
ASD_dataset_1,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_2,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_3,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_4,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_5,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_6,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_7,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_8,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_9,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_10,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_11,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
ASD_dataset_12,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
CICIDS,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
CalIt2,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
Creditcard,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
GECCO,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
Genesis,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
MSL,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
NYC,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
PSM,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
SMAP,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
SMD,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
SWAT,,,0,False,missing_valid_typefusion_result,False,,,,,,N/A,N/A
