task,dataset_file,script_path,data_exists,metadata_discoverable,rows,c_in,effective_relation_mask_groups,bash_syntax_ok,json_parse_ok,config_validate_ok,window_length_ok,forward_ok,output_shape,finite_output,status,error
ASD_dataset_1,ASD_dataset_1.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_1_script/TypeFusionCATCH.sh,True,True,12519,26,4,True,True,True,True,True,"(1, 192, 26)",True,ok,
ASD_dataset_2,ASD_dataset_2.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_2_script/TypeFusionCATCH.sh,True,True,12905,23,4,True,True,True,True,True,"(1, 192, 23)",True,ok,
ASD_dataset_3,ASD_dataset_3.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_3_script/TypeFusionCATCH.sh,True,True,12814,24,4,True,True,True,True,True,"(1, 192, 24)",True,ok,
ASD_dataset_4,ASD_dataset_4.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_4_script/TypeFusionCATCH.sh,True,True,12809,24,4,True,True,True,True,True,"(1, 192, 24)",True,ok,
ASD_dataset_5,ASD_dataset_5.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_5_script/TypeFusionCATCH.sh,True,True,12886,25,4,True,True,True,True,True,"(1, 192, 25)",True,ok,
ASD_dataset_6,ASD_dataset_6.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_6_script/TypeFusionCATCH.sh,True,True,12762,29,4,True,True,True,True,True,"(1, 192, 29)",True,ok,
ASD_dataset_7,ASD_dataset_7.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_7_script/TypeFusionCATCH.sh,True,True,12873,21,4,True,True,True,True,True,"(1, 192, 21)",True,ok,
ASD_dataset_8,ASD_dataset_8.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_8_script/TypeFusionCATCH.sh,True,True,12772,24,4,True,True,True,True,True,"(1, 192, 24)",True,ok,
ASD_dataset_9,ASD_dataset_9.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_9_script/TypeFusionCATCH.sh,True,True,12663,26,4,True,True,True,True,True,"(1, 192, 26)",True,ok,
ASD_dataset_10,ASD_dataset_10.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_10_script/TypeFusionCATCH.sh,True,True,12587,27,4,True,True,True,True,True,"(1, 192, 27)",True,ok,
ASD_dataset_11,ASD_dataset_11.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_11_script/TypeFusionCATCH.sh,True,True,12710,26,4,True,True,True,True,True,"(1, 192, 26)",True,ok,
ASD_dataset_12,ASD_dataset_12.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/ASD_dataset_12_script/TypeFusionCATCH.sh,True,True,11479,24,4,True,True,True,True,True,"(1, 192, 24)",True,ok,
CICIDS,CICIDS.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/CICIDS_script/TypeFusionCATCH.sh,True,True,170231,72,4,True,True,True,True,True,"(1, 192, 72)",True,ok,
CalIt2,CalIt2.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/CalIt2_script/TypeFusionCATCH.sh,True,True,5040,2,2,True,True,True,True,True,"(1, 192, 2)",True,ok,
Creditcard,Creditcard.csv,/media/h3c/users/wangyueyang1/cxy/APD-CATCH/scripts/multivariate_detection/detect_score/Creditcard_script/TypeFusionCATCH.sh,True,True,284807,29,4,True,True,True,True,True,"(1, 192, 29)",True,ok,
