task,paper_dataset,comparison_config_status,comparison_config_reason,catch_archive_commit,catch_code_group,catch_auc_pr,catch_auc_roc,typefusion_auc_pr,typefusion_auc_roc,delta_auc_pr,delta_auc_roc,catch_r_auc_pr,catch_r_auc_roc,typefusion_r_auc_pr,typefusion_r_auc_roc,catch_vus_pr,catch_vus_roc,typefusion_vus_pr,typefusion_vus_roc,catch_fit_time,catch_inference_time,typefusion_fit_time,typefusion_inference_time,catch_seq_len,catch_patch_size,catch_patch_stride,typefusion_seq_len,typefusion_patch_size,typefusion_patch_stride,catch_batch_size,typefusion_batch_size,typefusion_run_path,typefusion_archive_path,comparable,exclusion_reason
ASD_dataset_1,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.1248485085487347,0.4971756168309036,N/A,N/A,N/A,N/A,0.1567895738648195,0.5737961938467859,N/A,N/A,0.1549590934653003,0.5694333738442646,N/A,N/A,334.59481549263,1.1914682388305664,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_2,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.4738718402997876,0.9620846211233082,N/A,N/A,N/A,N/A,0.4356217042101699,0.9738761206005264,N/A,N/A,0.4149668375626338,0.968598829886411,N/A,N/A,659.4894578456879,1.5985684394836426,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_3,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.220058520481956,0.8062639890778531,N/A,N/A,N/A,N/A,0.2182697652835912,0.8226051098048338,N/A,N/A,0.2070485940898245,0.8133103939187382,N/A,N/A,673.0997557640076,2.299623727798462,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_4,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.1541102376324964,0.840160503495526,N/A,N/A,N/A,N/A,0.1853760738220797,0.8748612114870215,N/A,N/A,0.183335350625001,0.8686080319456262,N/A,N/A,443.8994948863983,1.1989319324493408,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_5,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.266653080459854,0.9435844228590344,N/A,N/A,N/A,N/A,0.2643692204971347,0.954231707903901,N/A,N/A,0.265436225942824,0.952010902458344,N/A,N/A,528.1996393203735,1.1000876426696775,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_6,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.2076890010886671,0.8428388690397423,N/A,N/A,N/A,N/A,0.2454145483549613,0.8750172425427918,N/A,N/A,0.2405820808488868,0.8691570975204111,N/A,N/A,489.9984543323517,1.5011343955993652,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_7,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.071783501294094,0.8142835031810813,N/A,N/A,N/A,N/A,0.0819363308786996,0.8026912391790306,N/A,N/A,0.0802304870362029,0.8004869479214196,N/A,N/A,535.2962217330933,1.2972824573516846,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_8,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.1454445344288511,0.8619196823958313,N/A,N/A,N/A,N/A,0.1884840570837617,0.8872971641127652,N/A,N/A,0.1857469509322909,0.8832907002147925,N/A,N/A,580.8953413963318,1.0100667476654053,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_9,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.3147345111330089,0.8771432947421016,N/A,N/A,N/A,N/A,0.4047679359585314,0.9253483801705668,N/A,N/A,0.3911516878955418,0.9105894033950231,N/A,N/A,560.8005926609039,2.8993587493896484,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_10,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.3797420881439927,0.8574666611421714,N/A,N/A,N/A,N/A,0.5278494529267856,0.92274006729562,N/A,N/A,0.5089130124020491,0.9113190214504152,N/A,N/A,522.2924733161926,1.6002581119537354,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_11,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.2120691308647811,0.7963587223587223,N/A,N/A,N/A,N/A,0.264860184278359,0.8537304411686022,N/A,N/A,0.2507341107329587,0.8300056537141123,N/A,N/A,585.9009191989899,1.1974611282348633,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
ASD_dataset_12,ASD,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.1998799223937877,0.7844653555613441,N/A,N/A,N/A,N/A,0.2525284320370562,0.8605268498939261,N/A,N/A,0.2521906588596989,0.85730002225506,N/A,N/A,633.600519657135,2.2001287937164307,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
CICIDS,CICIDS,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.0021731235429398,0.79050548808017,N/A,N/A,N/A,N/A,0.0022736456690228,0.7325053134513663,N/A,N/A,0.0025072827456,0.7387663598701121,N/A,N/A,5078.397294044495,32.6004695892334,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
CalIt2,CalIt2,missing_valid_typefusion_result,,aedcc2512baa7e518829ec5d1a90c3e9837202c1,unavailable_aedcc2512baa,0.1133100895447508,0.837335086517425,N/A,N/A,N/A,N/A,0.1220790271311373,0.853212363879905,N/A,N/A,0.1192013498218825,0.8475839765023082,N/A,N/A,134.7034091949463,1.8045427799224851,N/A,N/A,192,16,16,,,,128,,,,False,missing_valid_typefusion_result
Creditcard,Creditcard,missing_valid_typefusion_result,,a3ba73c56101778ac3df060814ae29d811fb31fb,catch_code_9ae5e9948a1e,0.1004792584747138,0.957813988315216,N/A,N/A,N/A,N/A,0.0523972170942,0.9207679056687252,N/A,N/A,0.050101786938506,0.9175702326951392,N/A,N/A,2288.283682346344,3.594034194946289,N/A,N/A,192,32,32,,,,128,,,,False,missing_valid_typefusion_result
GECCO,GECCO,missing_valid_typefusion_result,,a3ba73c56101778ac3df060814ae29d811fb31fb,catch_code_9ae5e9948a1e,0.4174229654567119,0.9699809485278436,N/A,N/A,N/A,N/A,0.472472558178766,0.989927548256646,N/A,N/A,0.4650705852885411,0.9872547054735572,N/A,N/A,144.57906436920166,1.302363395690918,N/A,N/A,96,16,8,,,,128,,,,False,missing_valid_typefusion_result
Genesis,Genesis,missing_valid_typefusion_result,,a3ba73c56101778ac3df060814ae29d811fb31fb,catch_code_9ae5e9948a1e,0.2659863620196691,0.9735413019258315,N/A,N/A,N/A,N/A,0.4036562885901217,0.9809077906138552,N/A,N/A,0.3873657107963087,0.9781359445600886,N/A,N/A,2345.0294229984283,3.396724224090576,N/A,N/A,192,8,8,,,,4,,,,False,missing_valid_typefusion_result
MSL,MSL,missing_valid_typefusion_result,,a3ba73c56101778ac3df060814ae29d811fb31fb,catch_code_9ae5e9948a1e,0.1655892846937148,0.6619639093750687,N/A,N/A,N/A,N/A,0.259707432969554,0.7463467261542964,N/A,N/A,0.2544132192507792,0.7339423173805406,N/A,N/A,6478.882837533951,6.3926873207092285,N/A,N/A,192,16,8,,,,128,,,,False,missing_valid_typefusion_result
