physical_task,paper_dataset,kind,dataset_file,reproduced_score_auc_roc,reproduced_label_affiliation_f,score_report,label_report
CICIDS,CICIDS,real,CICIDS.csv,0.79050548808017,0.7872090154877879,result/score/CATCH/CICIDS/run-20260715T120722Z-1345491-4045/test_report.1784122606.h3c-R5500-G5.1353374.csv,result/label/CATCH/CICIDS/run-20260715T133707Z-2321802-10349/test_report.1784140601.h3c-R5500-G5.2328091.csv
CalIt2,CalIt2,real,CalIt2.csv,0.837335086517425,0.8349896142029214,result/score/CATCH/CalIt2/run-20260715T183704Z-2374669-5874/test_report.1784140875.h3c-R5500-G5.2376944.csv,result/label/CATCH/CalIt2/run-20260715T184135Z-2437260-7989/test_report.1784141245.h3c-R5500-G5.2439441.csv
SWAT,SWAT,real,SWAT.csv,0.3437453576128116,0.7545558992173634,result/score/CATCH/SWAT/run-20260715T184743Z-2499166-18894/test_report.1784210821.h3c-R5500-G5.2521250.csv,result/label/CATCH/SWAT/run-20260716T140708Z-1986733-20438/test_report.1784277291.h3c-R5500-G5.1989089.csv
Creditcard,Creditcard,real,Creditcard.csv,0.957813988315216,0.7503185249605137,result/score/CATCH/Creditcard/run-20260716T202925Z-3426561-275/test_report.1784236079.h3c-R5500-G5.3427278.csv,result/label/CATCH/Creditcard/run-20260717T085033Z-4154569-18693/test_report.1784280974.h3c-R5500-G5.4156110.csv
GECCO,GECCO,real,GECCO.csv,0.9699809485278436,0.9078866304302032,result/score/CATCH/GECCO/run-20260716T213302Z-16971-16047/test_report.1784237757.h3c-R5500-G5.17240.csv,result/label/CATCH/GECCO/run-20260716T213559Z-51278-24592/test_report.1784239207.h3c-R5500-G5.51630.csv
Genesis,Genesis,real,Genesis.csv,0.9735413019258315,0.895526374115703,result/score/CATCH/Genesis/run-20260716T213208Z-6088-16524/test_report.1784239890.h3c-R5500-G5.6426.csv,result/label/CATCH/Genesis/run-20260716T221132Z-484571-23537/test_report.1784240206.h3c-R5500-G5.484879.csv
MSL,MSL,real,MSL.csv,0.6619639093750687,0.739775163655414,result/score/CATCH/MSL/run-20260716T213635Z-58595-28964/test_report.1784244404.h3c-R5500-G5.59126.csv,result/label/CATCH/MSL/run-20260716T232646Z-1365820-1457/test_report.1784270400.h3c-R5500-G5.1366294.csv
NYC,NYC,real,NYC.csv,0.8184345189209679,0.994290341429301,result/score/CATCH/NYC/run-20260716T222643Z-657156-32728/test_report.1784241041.h3c-R5500-G5.657503.csv,result/label/CATCH/NYC/run-20260716T223043Z-701607-26288/test_report.1784241548.h3c-R5500-G5.701937.csv
PSM,PSM,real,PSM.csv,0.6475481500586737,0.8590866350697319,result/score/CATCH/PSM/run-20260716T222700Z-660928-22488/test_report.1784241452.h3c-R5500-G5.661628.csv,result/label/CATCH/PSM/run-20260716T223734Z-776688-6344/test_report.1784243251.h3c-R5500-G5.777325.csv
SMD,SMD,real,SMD.csv,0.8108613332598882,0.8473441664766889,result/score/CATCH/SMD/run-20260716T225633Z-1008371-29270/test_report.1784301239.h3c-R5500-G5.1011549.csv,result/label/CATCH/SMD/run-20260717T112759Z-2165914-23593/test_report.1784308714.h3c-R5500-G5.2168761.csv
