dataset,physical_file_count,reproduced_score_auc_roc,paper_score_auc_roc,delta_score_auc_roc,reproduced_label_affiliation_f,paper_label_affiliation_f,delta_label_affiliation_f
CICIDS,1,0.790505488080,0.795,-0.004494511920,0.787209015488,0.787,0.000209015488
CalIt2,1,0.837335086517,0.838,-0.000664913483,0.834989614203,0.835,-0.000010385797
SWAT,1,0.343745357613,0.345,-0.001254642387,0.754555899217,0.755,-0.000444100783
Creditcard,1,0.957813988315,0.958,-0.000186011685,0.750318524961,0.750,0.000318524961
GECCO,1,0.969980948528,0.970,-0.000019051472,0.907886630430,0.908,-0.000113369570
Genesis,1,0.973541301926,0.974,-0.000458698074,0.895526374116,0.896,-0.000473625884
MSL,1,0.661963909375,0.664,-0.002036090625,0.739775163655,0.740,-0.000224836345
NYC,1,0.818434518921,0.816,0.002434518921,0.994290341429,0.994,0.000290341429
PSM,1,0.647548150059,0.652,-0.004451849941,0.859086635070,0.859,0.000086635070
SMD,1,0.810861333260,0.811,-0.000138666740,0.847344166477,0.847,0.000344166477
SMAP,1,0.497478107507,0.504,-0.006521892493,0.699392015859,0.699,0.000392015859
ASD,12,0.823645436817,0.824,-0.000354563183,0.804105387004,0.804,0.000105387004
