baseline,Genesis,Weather,Energy,SKAB,MSDS,Daphnet,GECCO,ExathlonSmall,Metro
PCA,0.928687995918,0.633244701708,0.513234862657,0.723177656274,0.110738686612,0.786034526006,0.790885320976,0.999705176109,0.671547083143
IsolationForest,0.71745885919,0.70219922795,0.508156563633,0.618970207977,0.475489285779,0.79108875572,0.858820983667,0.999753109433,0.681974820761
LOF,0.774006267729,0.616236324672,0.474270945979,0.790945407859,0.182246542773,0.726827678915,0.395647442095,0.999676021537,0.675209737329
OCSVM,0.86240574776,0.726841538524,0.499592403887,nan,0.279576795573,0.787725843841,nan,0.975736816078,0.648288803985
USAD,0.861587875694,0.499316643083,nan,0.60146051839,0.0138799873214,0.80197817778,0.192844534504,0.998228036208,0.69368386648
OmniAnomaly,0.867944333172,0.599698530323,0.525280150678,0.59904225382,0.45062307004,0.774634955058,0.511498687943,0.998880855393,0.639976716782
DAGMM,0.811383479993,0.0199450402348,nan,0.747223078512,0.222741011986,0.723699055949,0.717549591572,0.893489531431,0.495324569115
TranAD,0.836366473167,0.665464826471,0.433802723547,0.681585197085,0.470233765136,0.817889799368,0.439043749813,0.99933880187,0.69341647336
AnomalyTransformer,0.670758936524,0.307239122278,0.256881183256,0.734528961364,0.211301087177,0.705227492457,0.693524336772,0.867653574055,0.674979620735
GDN,0.879078838447,0.637208062615,0.586446071291,0.751791374222,0.490166410766,0.684140605119,0.766038468504,0.998631875714,0.669365474621
MTAD-GAT,0.45185676984,0.297704758395,0.395624733831,0.520396871735,0.00156855953949,nan,0.148018508128,0.998544947614,0.603816016901
InterFusion,0.595556397767,0.634900960137,0.625630856025,0.422165543831,nan,0.742047828107,0.659999360327,0.997556695957,0.695582889867
DADA,0.755427228404,0.327261147462,0.387960541379,0.643589203711,0.318826748924,0.660311585593,0.45827759489,0.872019997661,0.53092256677
UniTS,0.687501143543,0.352665270586,0.304393883748,0.517467391099,0.340810764974,0.705438759996,0.752462747686,0.911551506188,0.5134653731
Timer,0.685894315567,0.325374146421,0.2979175362,0.513462428247,0.339199606392,0.698502722098,0.750011744961,0.889347829693,0.506326731648
LMixer,0.74712605087,0.398359605425,0.33168581697,0.537650954561,0.3383357715,0.669480527063,0.749856288584,0.944099790604,0.520812098201
