baseline,dataset,Aff-F,V-PR,V-ROC
PCA,Genesis,0.928687995918,0.65170435591,0.974224204829
PCA,Weather,0.633244701708,0.276674404919,0.559058999696
PCA,Energy,0.513234862657,0.306918065968,0.577181981695
PCA,SKAB,0.723177656274,0.725989371688,0.715803738048
PCA,MSDS,0.110738686612,0.942465013041,0.830984690195
PCA,Daphnet,0.786034526006,0.183862800693,0.619437191519
PCA,GECCO,0.790885320976,0.110570795326,0.581949715151
PCA,ExathlonSmall,0.999705176109,0.940585864379,0.984395009066
PCA,Metro,0.671547083143,0.00186027036414,0.458038501193
IsolationForest,Genesis,0.71745885919,0.0107499021114,0.766668694555
IsolationForest,Weather,0.70219922795,0.498921203713,0.767027123088
IsolationForest,Energy,0.508156563633,0.35254337609,0.582287785907
IsolationForest,SKAB,0.618970207977,0.642411820201,0.679965287897
IsolationForest,MSDS,0.475489285779,0.912030935937,0.767297035982
IsolationForest,Daphnet,0.79108875572,0.189040452189,0.616581550698
IsolationForest,GECCO,0.858820983667,0.12764897288,0.877308671128
IsolationForest,ExathlonSmall,0.999753109433,0.89506893815,0.960890789108
IsolationForest,Metro,0.681974820761,0.00200784926718,0.503650239653
LOF,Genesis,0.774006267729,0.0380289885344,0.930246722913
LOF,Weather,0.616236324672,0.251025043191,0.590254503659
LOF,Energy,0.474270945979,0.325510383767,0.572031175297
LOF,SKAB,0.790945407859,0.790919216792,0.781335794739
LOF,MSDS,0.182246542773,0.947139092454,0.845235225358
LOF,Daphnet,0.726827678915,0.150035616277,0.588054858853
LOF,GECCO,0.395647442095,0.0297660306725,0.492103540434
LOF,ExathlonSmall,0.999676021537,0.950899363839,0.98813912598
LOF,Metro,0.675209737329,0.00162369133317,0.370209261316
OCSVM,Genesis,0.86240574776,0.210206695674,0.952694273487
OCSVM,Weather,0.726841538524,0.368319806104,0.642474669947
OCSVM,Energy,0.499592403887,0.356255368345,0.611332232023
OCSVM,SKAB,nan,0.812374426694,0.732213134453
OCSVM,MSDS,0.279576795573,0.932717209708,0.803772417792
OCSVM,Daphnet,0.787725843841,0.183640929266,0.619165947635
OCSVM,GECCO,nan,0.0771723698214,0.537511829084
OCSVM,ExathlonSmall,0.975736816078,0.973110547363,0.993714338881
OCSVM,Metro,0.648288803985,0.00157528128426,0.383202077114
USAD,Genesis,0.861587875694,0.0762885646974,0.706818537189
USAD,Weather,0.499316643083,0.405898991428,0.641713197889
USAD,Energy,nan,0.227464847038,0.380439894981
USAD,SKAB,0.60146051839,0.729163347525,0.717336106885
USAD,MSDS,0.0138799873214,0.943100932413,0.831476642615
USAD,Daphnet,0.80197817778,0.242062464619,0.679730432732
USAD,GECCO,0.192844534504,0.0326121293519,0.479148439737
USAD,ExathlonSmall,0.998228036208,0.955123384647,0.988318760157
USAD,Metro,0.69368386648,0.00215722343188,0.525186904704
OmniAnomaly,Genesis,0.867944333172,0.0193840288859,0.744554461902
OmniAnomaly,Weather,0.599698530323,0.401615026104,0.650648053198
OmniAnomaly,Energy,0.525280150678,0.329489756779,0.511342697769
OmniAnomaly,SKAB,0.59904225382,0.674744351722,0.708028693039
OmniAnomaly,MSDS,0.45062307004,0.913107877302,0.745891217944
OmniAnomaly,Daphnet,0.774634955058,0.211897013187,0.621689844509
OmniAnomaly,GECCO,0.511498687943,0.0345104010209,0.540534375296
OmniAnomaly,ExathlonSmall,0.998880855393,0.909734946294,0.967061861591
OmniAnomaly,Metro,0.639976716782,0.00151680220078,0.369826821649
DAGMM,Genesis,0.811383479993,0.131235519439,0.593038748909
DAGMM,Weather,0.0199450402348,0.104954190755,0.511378346811
DAGMM,Energy,nan,0.619056223716,0.521825969922
DAGMM,SKAB,0.747223078512,0.722247241555,0.700237707111
DAGMM,MSDS,0.222741011986,0.789731221451,0.498483533873
DAGMM,Daphnet,0.723699055949,0.221370672025,0.527813110209
DAGMM,GECCO,0.717549591572,0.207135731883,0.544444736911
DAGMM,ExathlonSmall,0.893489531431,0.540031017068,0.671726683756
DAGMM,Metro,0.495324569115,0.00142811714323,0.485337269046
TranAD,Genesis,0.836366473167,0.0381437128905,0.899966839258
TranAD,Weather,0.665464826471,0.521178881666,0.778233392053
TranAD,Energy,0.433802723547,0.334412736805,0.554533293385
TranAD,SKAB,0.681585197085,0.74792720476,0.74444436138
TranAD,MSDS,0.470233765136,0.887600840519,0.675075318021
TranAD,Daphnet,0.817889799368,0.191017418022,0.621982275971
TranAD,GECCO,0.439043749813,0.0338886600923,0.504342723188
TranAD,ExathlonSmall,0.99933880187,0.949422861542,0.987170830206
TranAD,Metro,0.69341647336,0.00229325947268,0.578468501764
AnomalyTransformer,Genesis,0.670758936524,0.00443662650408,0.410972643495
AnomalyTransformer,Weather,0.307239122278,0.192528789928,0.501163795032
AnomalyTransformer,Energy,0.256881183256,0.19491342766,0.320816039781
AnomalyTransformer,SKAB,0.734528961364,0.665422902913,0.681559608342
AnomalyTransformer,MSDS,0.211301087177,0.709533176255,0.487705846762
AnomalyTransformer,Daphnet,0.705227492457,0.110241178368,0.493550538867
AnomalyTransformer,GECCO,0.693524336772,0.0169244746639,0.477028299095
AnomalyTransformer,ExathlonSmall,0.867653574055,0.243565558978,0.545091092656
AnomalyTransformer,Metro,0.674979620735,0.00157644066588,0.442756711455
GDN,Genesis,0.879078838447,0.0943532624214,0.693038327818
GDN,Weather,0.637208062615,0.430698588714,0.69499987379
GDN,Energy,0.586446071291,0.378758046928,0.664457223193
GDN,SKAB,0.751791374222,0.713473942923,0.763244569536
GDN,MSDS,0.490166410766,0.56857127829,0.0915850965258
GDN,Daphnet,0.684140605119,0.180516290773,0.599459282071
GDN,GECCO,0.766038468504,0.109651732349,0.719804390889
GDN,ExathlonSmall,0.998631875714,0.93228855973,0.981639992472
GDN,Metro,0.669365474621,0.00141039818578,0.328022801354
MTAD-GAT,Genesis,0.45185676984,0.00307424851391,0.157105730756
MTAD-GAT,Weather,0.297704758395,0.14662569455,0.222062799203
MTAD-GAT,Energy,0.395624733831,0.313236699439,0.492251624244
MTAD-GAT,SKAB,0.520396871735,0.742638332093,0.740970299067
MTAD-GAT,MSDS,0.00156855953949,0.936219464694,0.810230816286
MTAD-GAT,Daphnet,nan,0.165680111459,0.499651385563
MTAD-GAT,GECCO,0.148018508128,0.0277826664271,0.418247451682
MTAD-GAT,ExathlonSmall,0.998544947614,0.94374938382,0.983999928693
MTAD-GAT,Metro,0.603816016901,0.00116017654213,0.19105107527
InterFusion,Genesis,0.595556397767,0.00360039839873,0.291715709971
