date,data,cols
1,SMD server telemetry placeholder.,channel1
2,SMD server telemetry placeholder.,channel1
3,SMD server telemetry placeholder.,channel1
4,SMD server telemetry placeholder.,channel1
5,SMD server telemetry placeholder.,channel1
6,SMD server telemetry placeholder.,channel1
7,SMD server telemetry placeholder.,channel1
8,SMD server telemetry placeholder.,channel1
9,SMD server telemetry placeholder.,channel1
10,SMD server telemetry placeholder.,channel1
11,SMD server telemetry placeholder.,channel1
12,SMD server telemetry placeholder.,channel1
13,SMD server telemetry placeholder.,channel1
14,SMD server telemetry placeholder.,channel1
15,SMD server telemetry placeholder.,channel1
16,SMD server telemetry placeholder.,channel1
17,SMD server telemetry placeholder.,channel1
18,SMD server telemetry placeholder.,channel1
19,SMD server telemetry placeholder.,channel1
20,SMD server telemetry placeholder.,channel1
21,SMD server telemetry placeholder.,channel1
22,SMD server telemetry placeholder.,channel1
23,SMD server telemetry placeholder.,channel1
24,SMD server telemetry placeholder.,channel1
25,SMD server telemetry placeholder.,channel1
26,SMD server telemetry placeholder.,channel1
27,SMD server telemetry placeholder.,channel1
28,SMD server telemetry placeholder.,channel1
29,SMD server telemetry placeholder.,channel1
30,SMD server telemetry placeholder.,channel1
31,SMD server telemetry placeholder.,channel1
32,SMD server telemetry placeholder.,channel1
33,SMD server telemetry placeholder.,channel1
34,SMD server telemetry placeholder.,channel1
35,SMD server telemetry placeholder.,channel1
36,SMD server telemetry placeholder.,channel1
37,SMD server telemetry placeholder.,channel1
38,SMD server telemetry placeholder.,channel1
39,SMD server telemetry placeholder.,channel1
40,SMD server telemetry placeholder.,channel1
41,SMD server telemetry placeholder.,channel1
42,SMD server telemetry placeholder.,channel1
43,SMD server telemetry placeholder.,channel1
44,SMD server telemetry placeholder.,channel1
45,SMD server telemetry placeholder.,channel1
46,SMD server telemetry placeholder.,channel1
47,SMD server telemetry placeholder.,channel1
48,SMD server telemetry placeholder.,channel1
49,SMD server telemetry placeholder.,channel1
50,SMD server telemetry placeholder.,channel1
51,SMD server telemetry placeholder.,channel1
52,SMD server telemetry placeholder.,channel1
53,SMD server telemetry placeholder.,channel1
54,SMD server telemetry placeholder.,channel1
55,SMD server telemetry placeholder.,channel1
56,SMD server telemetry placeholder.,channel1
57,SMD server telemetry placeholder.,channel1
58,SMD server telemetry placeholder.,channel1
59,SMD server telemetry placeholder.,channel1
60,SMD server telemetry placeholder.,channel1
61,SMD server telemetry placeholder.,channel1
62,SMD server telemetry placeholder.,channel1
63,SMD server telemetry placeholder.,channel1
64,SMD server telemetry placeholder.,channel1
65,SMD server telemetry placeholder.,channel1
66,SMD server telemetry placeholder.,channel1
67,SMD server telemetry placeholder.,channel1
68,SMD server telemetry placeholder.,channel1
69,SMD server telemetry placeholder.,channel1
70,SMD server telemetry placeholder.,channel1
71,SMD server telemetry placeholder.,channel1
72,SMD server telemetry placeholder.,channel1
73,SMD server telemetry placeholder.,channel1
74,SMD server telemetry placeholder.,channel1
75,SMD server telemetry placeholder.,channel1
76,SMD server telemetry placeholder.,channel1
77,SMD server telemetry placeholder.,channel1
78,SMD server telemetry placeholder.,channel1
79,SMD server telemetry placeholder.,channel1
80,SMD server telemetry placeholder.,channel1
81,SMD server telemetry placeholder.,channel1
82,SMD server telemetry placeholder.,channel1
83,SMD server telemetry placeholder.,channel1
84,SMD server telemetry placeholder.,channel1
85,SMD server telemetry placeholder.,channel1
86,SMD server telemetry placeholder.,channel1
87,SMD server telemetry placeholder.,channel1
88,SMD server telemetry placeholder.,channel1
89,SMD server telemetry placeholder.,channel1
90,SMD server telemetry placeholder.,channel1
91,SMD server telemetry placeholder.,channel1
92,SMD server telemetry placeholder.,channel1
93,SMD server telemetry placeholder.,channel1
94,SMD server telemetry placeholder.,channel1
95,SMD server telemetry placeholder.,channel1
96,SMD server telemetry placeholder.,channel1
97,SMD server telemetry placeholder.,channel1
98,SMD server telemetry placeholder.,channel1
99,SMD server telemetry placeholder.,channel1
100,SMD server telemetry placeholder.,channel1
101,SMD server telemetry placeholder.,channel1
102,SMD server telemetry placeholder.,channel1
103,SMD server telemetry placeholder.,channel1
104,SMD server telemetry placeholder.,channel1
105,SMD server telemetry placeholder.,channel1
106,SMD server telemetry placeholder.,channel1
107,SMD server telemetry placeholder.,channel1
108,SMD server telemetry placeholder.,channel1
109,SMD server telemetry placeholder.,channel1
110,SMD server telemetry placeholder.,channel1
111,SMD server telemetry placeholder.,channel1
112,SMD server telemetry placeholder.,channel1
113,SMD server telemetry placeholder.,channel1
114,SMD server telemetry placeholder.,channel1
115,SMD server telemetry placeholder.,channel1
116,SMD server telemetry placeholder.,channel1
117,SMD server telemetry placeholder.,channel1
118,SMD server telemetry placeholder.,channel1
119,SMD server telemetry placeholder.,channel1
120,SMD server telemetry placeholder.,channel1
121,SMD server telemetry placeholder.,channel1
122,SMD server telemetry placeholder.,channel1
123,SMD server telemetry placeholder.,channel1
124,SMD server telemetry placeholder.,channel1
125,SMD server telemetry placeholder.,channel1
126,SMD server telemetry placeholder.,channel1
127,SMD server telemetry placeholder.,channel1
128,SMD server telemetry placeholder.,channel1
129,SMD server telemetry placeholder.,channel1
130,SMD server telemetry placeholder.,channel1
131,SMD server telemetry placeholder.,channel1
132,SMD server telemetry placeholder.,channel1
133,SMD server telemetry placeholder.,channel1
134,SMD server telemetry placeholder.,channel1
135,SMD server telemetry placeholder.,channel1
136,SMD server telemetry placeholder.,channel1
137,SMD server telemetry placeholder.,channel1
138,SMD server telemetry placeholder.,channel1
139,SMD server telemetry placeholder.,channel1
140,SMD server telemetry placeholder.,channel1
141,SMD server telemetry placeholder.,channel1
142,SMD server telemetry placeholder.,channel1
143,SMD server telemetry placeholder.,channel1
144,SMD server telemetry placeholder.,channel1
145,SMD server telemetry placeholder.,channel1
146,SMD server telemetry placeholder.,channel1
147,SMD server telemetry placeholder.,channel1
148,SMD server telemetry placeholder.,channel1
149,SMD server telemetry placeholder.,channel1
150,SMD server telemetry placeholder.,channel1
151,SMD server telemetry placeholder.,channel1
152,SMD server telemetry placeholder.,channel1
153,SMD server telemetry placeholder.,channel1
154,SMD server telemetry placeholder.,channel1
155,SMD server telemetry placeholder.,channel1
156,SMD server telemetry placeholder.,channel1
157,SMD server telemetry placeholder.,channel1
158,SMD server telemetry placeholder.,channel1
159,SMD server telemetry placeholder.,channel1
160,SMD server telemetry placeholder.,channel1
161,SMD server telemetry placeholder.,channel1
162,SMD server telemetry placeholder.,channel1
163,SMD server telemetry placeholder.,channel1
164,SMD server telemetry placeholder.,channel1
165,SMD server telemetry placeholder.,channel1
166,SMD server telemetry placeholder.,channel1
167,SMD server telemetry placeholder.,channel1
168,SMD server telemetry placeholder.,channel1
169,SMD server telemetry placeholder.,channel1
170,SMD server telemetry placeholder.,channel1
171,SMD server telemetry placeholder.,channel1
172,SMD server telemetry placeholder.,channel1
173,SMD server telemetry placeholder.,channel1
174,SMD server telemetry placeholder.,channel1
175,SMD server telemetry placeholder.,channel1
176,SMD server telemetry placeholder.,channel1
177,SMD server telemetry placeholder.,channel1
178,SMD server telemetry placeholder.,channel1
179,SMD server telemetry placeholder.,channel1
180,SMD server telemetry placeholder.,channel1
181,SMD server telemetry placeholder.,channel1
182,SMD server telemetry placeholder.,channel1
183,SMD server telemetry placeholder.,channel1
184,SMD server telemetry placeholder.,channel1
185,SMD server telemetry placeholder.,channel1
186,SMD server telemetry placeholder.,channel1
187,SMD server telemetry placeholder.,channel1
188,SMD server telemetry placeholder.,channel1
189,SMD server telemetry placeholder.,channel1
190,SMD server telemetry placeholder.,channel1
191,SMD server telemetry placeholder.,channel1
192,SMD server telemetry placeholder.,channel1
193,SMD server telemetry placeholder.,channel1
194,SMD server telemetry placeholder.,channel1
195,SMD server telemetry placeholder.,channel1
196,SMD server telemetry placeholder.,channel1
197,SMD server telemetry placeholder.,channel1
198,SMD server telemetry placeholder.,channel1
199,SMD server telemetry placeholder.,channel1
200,SMD server telemetry placeholder.,channel1
201,SMD server telemetry placeholder.,channel1
202,SMD server telemetry placeholder.,channel1
203,SMD server telemetry placeholder.,channel1
204,SMD server telemetry placeholder.,channel1
205,SMD server telemetry placeholder.,channel1
206,SMD server telemetry placeholder.,channel1
207,SMD server telemetry placeholder.,channel1
208,SMD server telemetry placeholder.,channel1
209,SMD server telemetry placeholder.,channel1
210,SMD server telemetry placeholder.,channel1
211,SMD server telemetry placeholder.,channel1
212,SMD server telemetry placeholder.,channel1
213,SMD server telemetry placeholder.,channel1
214,SMD server telemetry placeholder.,channel1
215,SMD server telemetry placeholder.,channel1
216,SMD server telemetry placeholder.,channel1
217,SMD server telemetry placeholder.,channel1
218,SMD server telemetry placeholder.,channel1
219,SMD server telemetry placeholder.,channel1
220,SMD server telemetry placeholder.,channel1
221,SMD server telemetry placeholder.,channel1
222,SMD server telemetry placeholder.,channel1
223,SMD server telemetry placeholder.,channel1
224,SMD server telemetry placeholder.,channel1
225,SMD server telemetry placeholder.,channel1
226,SMD server telemetry placeholder.,channel1
227,SMD server telemetry placeholder.,channel1
228,SMD server telemetry placeholder.,channel1
229,SMD server telemetry placeholder.,channel1
230,SMD server telemetry placeholder.,channel1
231,SMD server telemetry placeholder.,channel1
232,SMD server telemetry placeholder.,channel1
233,SMD server telemetry placeholder.,channel1
234,SMD server telemetry placeholder.,channel1
235,SMD server telemetry placeholder.,channel1
236,SMD server telemetry placeholder.,channel1
237,SMD server telemetry placeholder.,channel1
238,SMD server telemetry placeholder.,channel1
239,SMD server telemetry placeholder.,channel1
240,SMD server telemetry placeholder.,channel1
241,SMD server telemetry placeholder.,channel1
242,SMD server telemetry placeholder.,channel1
243,SMD server telemetry placeholder.,channel1
244,SMD server telemetry placeholder.,channel1
245,SMD server telemetry placeholder.,channel1
246,SMD server telemetry placeholder.,channel1
247,SMD server telemetry placeholder.,channel1
248,SMD server telemetry placeholder.,channel1
249,SMD server telemetry placeholder.,channel1
250,SMD server telemetry placeholder.,channel1
251,SMD server telemetry placeholder.,channel1
252,SMD server telemetry placeholder.,channel1
253,SMD server telemetry placeholder.,channel1
254,SMD server telemetry placeholder.,channel1
255,SMD server telemetry placeholder.,channel1
256,SMD server telemetry placeholder.,channel1
257,SMD server telemetry placeholder.,channel1
258,SMD server telemetry placeholder.,channel1
259,SMD server telemetry placeholder.,channel1
260,SMD server telemetry placeholder.,channel1
261,SMD server telemetry placeholder.,channel1
262,SMD server telemetry placeholder.,channel1
263,SMD server telemetry placeholder.,channel1
264,SMD server telemetry placeholder.,channel1
265,SMD server telemetry placeholder.,channel1
266,SMD server telemetry placeholder.,channel1
267,SMD server telemetry placeholder.,channel1
268,SMD server telemetry placeholder.,channel1
269,SMD server telemetry placeholder.,channel1
270,SMD server telemetry placeholder.,channel1
271,SMD server telemetry placeholder.,channel1
272,SMD server telemetry placeholder.,channel1
273,SMD server telemetry placeholder.,channel1
274,SMD server telemetry placeholder.,channel1
275,SMD server telemetry placeholder.,channel1
276,SMD server telemetry placeholder.,channel1
277,SMD server telemetry placeholder.,channel1
278,SMD server telemetry placeholder.,channel1
279,SMD server telemetry placeholder.,channel1
280,SMD server telemetry placeholder.,channel1
281,SMD server telemetry placeholder.,channel1
282,SMD server telemetry placeholder.,channel1
283,SMD server telemetry placeholder.,channel1
284,SMD server telemetry placeholder.,channel1
285,SMD server telemetry placeholder.,channel1
286,SMD server telemetry placeholder.,channel1
287,SMD server telemetry placeholder.,channel1
288,SMD server telemetry placeholder.,channel1
289,SMD server telemetry placeholder.,channel1
290,SMD server telemetry placeholder.,channel1
291,SMD server telemetry placeholder.,channel1
292,SMD server telemetry placeholder.,channel1
293,SMD server telemetry placeholder.,channel1
294,SMD server telemetry placeholder.,channel1
295,SMD server telemetry placeholder.,channel1
296,SMD server telemetry placeholder.,channel1
297,SMD server telemetry placeholder.,channel1
298,SMD server telemetry placeholder.,channel1
299,SMD server telemetry placeholder.,channel1
300,SMD server telemetry placeholder.,channel1
301,SMD server telemetry placeholder.,channel1
302,SMD server telemetry placeholder.,channel1
303,SMD server telemetry placeholder.,channel1
304,SMD server telemetry placeholder.,channel1
305,SMD server telemetry placeholder.,channel1
306,SMD server telemetry placeholder.,channel1
307,SMD server telemetry placeholder.,channel1
308,SMD server telemetry placeholder.,channel1
309,SMD server telemetry placeholder.,channel1
310,SMD server telemetry placeholder.,channel1
311,SMD server telemetry placeholder.,channel1
312,SMD server telemetry placeholder.,channel1
313,SMD server telemetry placeholder.,channel1
314,SMD server telemetry placeholder.,channel1
315,SMD server telemetry placeholder.,channel1
316,SMD server telemetry placeholder.,channel1
317,SMD server telemetry placeholder.,channel1
318,SMD server telemetry placeholder.,channel1
319,SMD server telemetry placeholder.,channel1
320,SMD server telemetry placeholder.,channel1
321,SMD server telemetry placeholder.,channel1
322,SMD server telemetry placeholder.,channel1
323,SMD server telemetry placeholder.,channel1
324,SMD server telemetry placeholder.,channel1
325,SMD server telemetry placeholder.,channel1
326,SMD server telemetry placeholder.,channel1
327,SMD server telemetry placeholder.,channel1
328,SMD server telemetry placeholder.,channel1
329,SMD server telemetry placeholder.,channel1
330,SMD server telemetry placeholder.,channel1
331,SMD server telemetry placeholder.,channel1
332,SMD server telemetry placeholder.,channel1
333,SMD server telemetry placeholder.,channel1
334,SMD server telemetry placeholder.,channel1
335,SMD server telemetry placeholder.,channel1
336,SMD server telemetry placeholder.,channel1
337,SMD server telemetry placeholder.,channel1
338,SMD server telemetry placeholder.,channel1
339,SMD server telemetry placeholder.,channel1
340,SMD server telemetry placeholder.,channel1
341,SMD server telemetry placeholder.,channel1
342,SMD server telemetry placeholder.,channel1
343,SMD server telemetry placeholder.,channel1
344,SMD server telemetry placeholder.,channel1
345,SMD server telemetry placeholder.,channel1
346,SMD server telemetry placeholder.,channel1
347,SMD server telemetry placeholder.,channel1
348,SMD server telemetry placeholder.,channel1
349,SMD server telemetry placeholder.,channel1
350,SMD server telemetry placeholder.,channel1
351,SMD server telemetry placeholder.,channel1
352,SMD server telemetry placeholder.,channel1
353,SMD server telemetry placeholder.,channel1
354,SMD server telemetry placeholder.,channel1
355,SMD server telemetry placeholder.,channel1
356,SMD server telemetry placeholder.,channel1
357,SMD server telemetry placeholder.,channel1
358,SMD server telemetry placeholder.,channel1
359,SMD server telemetry placeholder.,channel1
360,SMD server telemetry placeholder.,channel1
361,SMD server telemetry placeholder.,channel1
362,SMD server telemetry placeholder.,channel1
363,SMD server telemetry placeholder.,channel1
364,SMD server telemetry placeholder.,channel1
365,SMD server telemetry placeholder.,channel1
366,SMD server telemetry placeholder.,channel1
367,SMD server telemetry placeholder.,channel1
368,SMD server telemetry placeholder.,channel1
369,SMD server telemetry placeholder.,channel1
370,SMD server telemetry placeholder.,channel1
371,SMD server telemetry placeholder.,channel1
372,SMD server telemetry placeholder.,channel1
373,SMD server telemetry placeholder.,channel1
374,SMD server telemetry placeholder.,channel1
375,SMD server telemetry placeholder.,channel1
376,SMD server telemetry placeholder.,channel1
377,SMD server telemetry placeholder.,channel1
378,SMD server telemetry placeholder.,channel1
379,SMD server telemetry placeholder.,channel1
380,SMD server telemetry placeholder.,channel1
381,SMD server telemetry placeholder.,channel1
382,SMD server telemetry placeholder.,channel1
383,SMD server telemetry placeholder.,channel1
384,SMD server telemetry placeholder.,channel1
385,SMD server telemetry placeholder.,channel1
386,SMD server telemetry placeholder.,channel1
387,SMD server telemetry placeholder.,channel1
388,SMD server telemetry placeholder.,channel1
389,SMD server telemetry placeholder.,channel1
390,SMD server telemetry placeholder.,channel1
391,SMD server telemetry placeholder.,channel1
392,SMD server telemetry placeholder.,channel1
393,SMD server telemetry placeholder.,channel1
394,SMD server telemetry placeholder.,channel1
395,SMD server telemetry placeholder.,channel1
396,SMD server telemetry placeholder.,channel1
397,SMD server telemetry placeholder.,channel1
398,SMD server telemetry placeholder.,channel1
399,SMD server telemetry placeholder.,channel1
400,SMD server telemetry placeholder.,channel1
401,SMD server telemetry placeholder.,channel1
402,SMD server telemetry placeholder.,channel1
403,SMD server telemetry placeholder.,channel1
404,SMD server telemetry placeholder.,channel1
405,SMD server telemetry placeholder.,channel1
406,SMD server telemetry placeholder.,channel1
407,SMD server telemetry placeholder.,channel1
408,SMD server telemetry placeholder.,channel1
409,SMD server telemetry placeholder.,channel1
410,SMD server telemetry placeholder.,channel1
411,SMD server telemetry placeholder.,channel1
412,SMD server telemetry placeholder.,channel1
413,SMD server telemetry placeholder.,channel1
414,SMD server telemetry placeholder.,channel1
415,SMD server telemetry placeholder.,channel1
416,SMD server telemetry placeholder.,channel1
417,SMD server telemetry placeholder.,channel1
418,SMD server telemetry placeholder.,channel1
419,SMD server telemetry placeholder.,channel1
420,SMD server telemetry placeholder.,channel1
421,SMD server telemetry placeholder.,channel1
422,SMD server telemetry placeholder.,channel1
423,SMD server telemetry placeholder.,channel1
424,SMD server telemetry placeholder.,channel1
425,SMD server telemetry placeholder.,channel1
426,SMD server telemetry placeholder.,channel1
427,SMD server telemetry placeholder.,channel1
428,SMD server telemetry placeholder.,channel1
429,SMD server telemetry placeholder.,channel1
430,SMD server telemetry placeholder.,channel1
431,SMD server telemetry placeholder.,channel1
432,SMD server telemetry placeholder.,channel1
433,SMD server telemetry placeholder.,channel1
434,SMD server telemetry placeholder.,channel1
435,SMD server telemetry placeholder.,channel1
436,SMD server telemetry placeholder.,channel1
437,SMD server telemetry placeholder.,channel1
438,SMD server telemetry placeholder.,channel1
439,SMD server telemetry placeholder.,channel1
440,SMD server telemetry placeholder.,channel1
441,SMD server telemetry placeholder.,channel1
442,SMD server telemetry placeholder.,channel1
443,SMD server telemetry placeholder.,channel1
444,SMD server telemetry placeholder.,channel1
445,SMD server telemetry placeholder.,channel1
446,SMD server telemetry placeholder.,channel1
447,SMD server telemetry placeholder.,channel1
448,SMD server telemetry placeholder.,channel1
