source_id,role,regime,primary_pair_id,coordination_pair_id,raw_score_name,raw_compatibility_score,compatibility_tail,reliability_bin,outer_threshold,outer_exceedance
regime_0_source_00,normal_scheduled_transition,0,regime_0_source_00_primary,,event_pre_future_contrastive_energy,1.1927202939987183,0.591937278628432,1,2.932674137586854,0
regime_0_source_00,incompatible_timing_transition,0,regime_0_source_00_primary,,event_pre_future_contrastive_energy,1.1927001476287842,0.31365755885504165,1,2.932674137586854,0
regime_0_source_00,normal_coordinated_transition,0,,regime_0_source_00_coordination,event_pre_future_contrastive_energy,1.1927446126937866,0.9030649696548938,1,2.932674137586854,0
regime_0_source_00,unsupported_transition,0,,regime_0_source_00_coordination,event_pre_future_contrastive_energy,1.1925948858261108,0.08004270767353637,1,2.932674137586854,0
regime_0_source_00,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.1927279233932495,0.7416415304985559,1,2.932674137586854,0
regime_0_source_01,normal_scheduled_transition,0,regime_0_source_01_primary,,event_pre_future_contrastive_energy,1.192748785018921,0.9959581346080263,0,4.0163830207523885,0
regime_0_source_01,incompatible_timing_transition,0,regime_0_source_01_primary,,event_pre_future_contrastive_energy,1.1927448511123657,0.9329451667792923,0,4.0163830207523885,0
regime_0_source_01,normal_coordinated_transition,0,,regime_0_source_01_coordination,event_pre_future_contrastive_energy,1.1927095651626587,0.2747530012529236,0,4.0163830207523885,0
regime_0_source_01,unsupported_transition,0,,regime_0_source_01_coordination,event_pre_future_contrastive_energy,1.1930550336837769,5.808142489980444,0,4.0163830207523885,1
regime_0_source_01,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.1927344799041748,0.6433565160569297,0,4.0163830207523885,0
regime_0_source_02,normal_scheduled_transition,0,regime_0_source_02_primary,,event_pre_future_contrastive_energy,1.1927202939987183,0.40997978846269095,0,4.0163830207523885,0
regime_0_source_02,incompatible_timing_transition,0,regime_0_source_02_primary,,event_pre_future_contrastive_energy,1.1927001476287842,0.2023404236844465,0,4.0163830207523885,0
regime_0_source_02,normal_coordinated_transition,0,,regime_0_source_02_coordination,event_pre_future_contrastive_energy,1.1927446126937866,0.8177099032017076,0,4.0163830207523885,0
regime_0_source_02,unsupported_transition,0,,regime_0_source_02_coordination,event_pre_future_contrastive_energy,1.1925948858261108,0.018182319083190474,0,4.0163830207523885,0
regime_0_source_02,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.1927525997161865,1.1930219731391845,0,4.0163830207523885,0
regime_0_source_03,normal_scheduled_transition,0,regime_0_source_03_primary,,event_pre_future_contrastive_energy,1.192748785018921,1.0439224023714893,1,2.932674137586854,0
regime_0_source_03,incompatible_timing_transition,0,regime_0_source_03_primary,,event_pre_future_contrastive_energy,1.1927448511123657,1.0272553498862778,1,2.932674137586854,0
regime_0_source_03,normal_coordinated_transition,0,,regime_0_source_03_coordination,event_pre_future_contrastive_energy,1.1927095651626587,0.40251089621073294,1,2.932674137586854,0
regime_0_source_03,unsupported_transition,0,,regime_0_source_03_coordination,event_pre_future_contrastive_energy,1.1930550336837769,4.436751534363128,1,2.932674137586854,1
regime_0_source_03,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.1927425861358643,0.8742860051048504,1,2.932674137586854,0
regime_0_source_04,normal_scheduled_transition,0,regime_0_source_04_primary,,event_pre_future_contrastive_energy,1.1927202939987183,0.40997978846269095,0,4.0163830207523885,0
regime_0_source_04,incompatible_timing_transition,0,regime_0_source_04_primary,,event_pre_future_contrastive_energy,1.1927001476287842,0.2023404236844465,0,4.0163830207523885,0
regime_0_source_04,normal_coordinated_transition,0,,regime_0_source_04_coordination,event_pre_future_contrastive_energy,1.1927446126937866,0.8177099032017076,0,4.0163830207523885,0
regime_0_source_04,unsupported_transition,0,,regime_0_source_04_coordination,event_pre_future_contrastive_energy,1.1925948858261108,0.018182319083190474,0,4.0163830207523885,0
regime_0_source_04,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.1927932500839233,2.3741552854952976,0,4.0163830207523885,0
regime_0_source_05,normal_scheduled_transition,0,regime_0_source_05_primary,,event_pre_future_contrastive_energy,1.192748785018921,0.9959581346080263,0,4.0163830207523885,0
regime_0_source_05,incompatible_timing_transition,0,regime_0_source_05_primary,,event_pre_future_contrastive_energy,1.1927448511123657,0.9329451667792923,0,4.0163830207523885,0
regime_0_source_05,normal_coordinated_transition,0,,regime_0_source_05_coordination,event_pre_future_contrastive_energy,1.1927095651626587,0.2747530012529236,0,4.0163830207523885,0
regime_0_source_05,unsupported_transition,0,,regime_0_source_05_coordination,event_pre_future_contrastive_energy,1.1930550336837769,5.808142489980444,0,4.0163830207523885,1
regime_0_source_05,no_event_normal_control,0,,,event_pre_future_contrastive_energy,1.192656397819519,0.07804270700686933,0,4.0163830207523885,0
